clave_renipress,clave_canonica,tipo_evidencia,nota
AMAZONAS|LUYA|SAN FRANCISCO DE YESO,AMAZONAS|LUYA|SAN FRANCISCO DEL YESO,C_variante_ortografica,DE / DEL
AMAZONAS|RODRIGUEZ DE MENDOZA|MILPUCC,AMAZONAS|RODRIGUEZ DE MENDOZA|MILPUC,C_variante_ortografica,C duplicada
ANCASH|ANTONIO RAIMONDI|ACZO,ANCASH|ANTONIO RAYMONDI|ACZO,A_variante_de_provincia,Nombre de distrito idéntico; solo difiere la grafía de la provincia
ANCASH|ANTONIO RAIMONDI|CHACCHO,ANCASH|ANTONIO RAYMONDI|CHACCHO,A_variante_de_provincia,Nombre de distrito idéntico; solo difiere la grafía de la provincia
ANCASH|ANTONIO RAIMONDI|CHINGAS,ANCASH|ANTONIO RAYMONDI|CHINGAS,A_variante_de_provincia,Nombre de distrito idéntico; solo difiere la grafía de la provincia
ANCASH|ANTONIO RAIMONDI|LLAMELLIN,ANCASH|ANTONIO RAYMONDI|LLAMELLIN,A_variante_de_provincia,Nombre de distrito idéntico; solo difiere la grafía de la provincia
ANCASH|ANTONIO RAIMONDI|MIRGAS,ANCASH|ANTONIO RAYMONDI|MIRGAS,A_variante_de_provincia,Nombre de distrito idéntico; solo difiere la grafía de la provincia
ANCASH|ANTONIO RAIMONDI|SAN JUAN DE RONTOY,ANCASH|ANTONIO RAYMONDI|SAN JUAN DE RONTOY,A_variante_de_provincia,Nombre de distrito idéntico; solo difiere la grafía de la provincia
ANCASH|BOLOGNESI|ANTONIO RAIMONDI,ANCASH|BOLOGNESI|ANTONIO RAYMONDI,C_variante_ortografica,RAIMONDI / RAYMONDI
ANCASH|HUARAZ|PAMPAS GRANDE,ANCASH|HUARAZ|PAMPAS,D_eliminacion,único emparejamiento posible en la provincia
APURIMAC|GRAU|HUAILLATI,APURIMAC|GRAU|HUAYLLATI,C_variante_ortografica,I / Y
APURIMAC|GRAU|MARISCAL GAMARRA,APURIMAC|GRAU|GAMARRA,D_eliminacion,único emparejamiento posible en la provincia
AREQUIPA|AREQUIPA|SANTA RITA DE SIHUAS,AREQUIPA|AREQUIPA|SANTA RITA DE SIGUAS,C_variante_ortografica,H / G
AYACUCHO|HUAMANGA|ANDRES AVELINO CACERES D,AYACUCHO|HUAMANGA|ANDRES AVELINO CACERES DORREGARAY,B_truncamiento,string cortado
AYACUCHO|VICTOR FAJARDO|HUALLA,AYACUCHO|VICTOR FAJARDO|HUAYA,D_eliminacion,único emparejamiento posible en la provincia
CAJAMARCA|CONTUMAZA|SANTA CRUZ DE TOLED,CAJAMARCA|CONTUMAZA|SANTA CRUZ DE TOLEDO,B_truncamiento,string cortado
CUSCO|LA CONVENCION|KIMBIRI,CUSCO|LA CONVENCION|QUIMBIRI,C_variante_ortografica,K / QU
HUANCAVELICA|ANGARAES|HUALLAY GRANDE,HUANCAVELICA|ANGARAES|HUAYLLAY GRANDE,C_variante_ortografica,HUALLAY / HUAYLLAY
HUANUCO|LEONCIO PRADO|DANIEL ALOMIA ROBLES,HUANUCO|LEONCIO PRADO|DANIEL ALOMIAS ROBLES,C_variante_ortografica,ALOMIA / ALOMIAS
LIMA|HUAROCHIRI|CASTA,LIMA|HUAROCHIRI|SAN PEDRO DE CASTA,B_nombre_corto,nombre oficial completo
LIMA|YAUYOS|ALLAUCA,LIMA|YAUYOS|AYAUCA,D_eliminacion,único emparejamiento posible en la provincia
PASCO|PASCO|SAN FCO DE ASIS DE YARUSYACAN,PASCO|PASCO|SAN FRANCISCO DE ASIS DE YARUSYACAN,B_abreviatura,SAN FCO
PUNO|EL COLLAO|CAPASO,PUNO|EL COLLAO|CAPAZO,C_variante_ortografica,S / Z
SAN MARTIN|PICOTA|CASPIZAPA,SAN MARTIN|PICOTA|CASPISAPA,C_variante_ortografica,Z / S
TACNA|TACNA|CORONEL GREGORIO ALBARRACIN L,TACNA|TACNA|CORONEL GREGORIO ALBARRACIN LANCHIPA,B_truncamiento,string cortado
TACNA|TARATA|HEROES ALBARRACIN,TACNA|TARATA|HEROES ALBARRACIN CHUCATAMANI,B_nombre_corto,nombre oficial completo
UCAYALI|ATALAYA|RAIMONDI,UCAYALI|ATALAYA|RAYMONDI,C_variante_ortografica,RAIMONDI / RAYMONDI
